GitHub PR Number,GitHub PR Title,Post Owner,StackOverflow QID,StackOverflow Title,SO tags,SO Creation Date,SO Last Activity Date,SO link
69996,Add label support,Sai Raghava Ethuri,75658050,Multi-label Image Classification along with the label position,"['tensorflow', 'deep-learning', 'pytorch', 'neural-network', 'conv-neural-network']",2023-03-07 04:29:53,2023-03-07 14:12:11,https://stackoverflow.com/questions/75658050/multi-label-image-classification-along-with-the-label-position
69996,Add label support,YeKc1M,75845624,How can I add metrics label to alert label,"['prometheus', 'prometheus-alertmanager']",2023-03-26 02:50:09,2023-03-26 08:36:13,https://stackoverflow.com/questions/75845624/how-can-i-add-metrics-label-to-alert-label
69996,Add label support,Nir,74509789,Label a whole numpy array with one label on matplotlib,"['python', 'matplotlib', 'numpy-ndarray']",2022-11-20 16:14:56,2022-11-21 08:55:19,https://stackoverflow.com/questions/74509789/label-a-whole-numpy-array-with-one-label-on-matplotlib
69996,Add label support,Zeeshan Khalid,77720799,Label Encoding for Categorical Features: Preserving Label Consistency Across Runs,"['python', 'machine-learning', 'scikit-learn', 'one-hot-encoding', 'label-encoding']",2023-12-27 08:24:15,2023-12-27 08:26:46,https://stackoverflow.com/questions/77720799/label-encoding-for-categorical-features-preserving-label-consistency-across-run
69996,Add label support,J Freebird,77000123,Prometheus Count unique label with all the other label combinations,"['prometheus', 'grafana']",2023-08-29 12:16:47,2023-08-29 12:42:21,https://stackoverflow.com/questions/77000123/prometheus-count-unique-label-with-all-the-other-label-combinations
69996,Add label support,Vishu Dhanawade,73177851,Vaadin Label CSS,"['java', 'label', 'vaadin']",2022-07-30 17:45:59,2022-07-31 16:38:53,https://stackoverflow.com/questions/73177851/vaadin-label-css
69996,Add label support,YEH ERIC,74712674,Add sensitivity label,"['excel', 'vba', 'label']",2022-12-07 06:41:00,2024-03-04 13:34:52,https://stackoverflow.com/questions/74712674/add-sensitivity-label
69996,Add label support,xiaochuan fang,73435653,matplotlib modify outer x label and keep inner x label,"['python', 'matplotlib', 'seaborn', 'subplot', 'axis-labels']",2022-08-21 15:11:08,2022-08-21 17:05:52,https://stackoverflow.com/questions/73435653/matplotlib-modify-outer-x-label-and-keep-inner-x-label
69996,Add label support,Ashish Bhanderi,74787267,Change label from Newrelic &quot;MySQL (subquery) select&quot; to custom label,"['laravel', 'eloquent', 'newrelic', 'newrelic-platform']",2022-12-13 15:31:38,2022-12-13 15:31:38,https://stackoverflow.com/questions/74787267/change-label-from-newrelic-mysql-subquery-select-to-custom-label
69996,Add label support,Milad Norouzi,77639643,SwiftUI Picker label,"['swiftui', 'picker']",2023-12-11 12:37:25,2023-12-13 02:05:35,https://stackoverflow.com/questions/77639643/swiftui-picker-label
69996,Add label support,Spynx,75081051,Matplotlib: how to fix label width independent of label content,"['python', 'matplotlib']",2023-01-11 09:47:00,2023-01-11 09:47:00,https://stackoverflow.com/questions/75081051/matplotlib-how-to-fix-label-width-independent-of-label-content
69996,Add label support,Mohd Arslaan,71943222,Text overlapping in label whenever updating the label in kivy,"['python', 'kivy', 'kivy-language']",2022-04-20 16:33:12,2024-04-04 00:08:55,https://stackoverflow.com/questions/71943222/text-overlapping-in-label-whenever-updating-the-label-in-kivy
69996,Add label support,Serafim,74704721,.quad $label in AT&amp;T syntax: undefined reference to [label-name],"['assembly', 'linker-errors', 'att', 'gnu-assembler']",2022-12-06 15:05:07,2022-12-06 16:49:14,https://stackoverflow.com/questions/74704721/quad-label-in-att-syntax-undefined-reference-to-label-name
69996,Add label support,jett chen,72270500,"Customize ListItem contains colorful label, colorful label background not show?","['python-3.x', 'pyqt', 'qlistwidget']",2022-05-17 08:20:05,2022-05-17 08:32:36,https://stackoverflow.com/questions/72270500/customize-listitem-contains-colorful-label-colorful-label-background-not-show
69996,Add label support,kesape,71982397,Button subtitle label,"['swift', 'button']",2022-04-23 18:08:47,2023-02-15 10:32:50,https://stackoverflow.com/questions/71982397/button-subtitle-label
69996,Add label support,NIGHTSCROLLER,76741967,Promtail label config,"['logging', 'grafana', 'grafana-loki', 'promtail']",2023-07-22 01:17:21,2023-07-22 01:17:21,https://stackoverflow.com/questions/76741967/promtail-label-config
69996,Add label support,Ekagra Sinha,74839601,ResNet50 base model for multi-label classification predicting only label,"['python', 'machine-learning', 'deep-learning', 'conv-neural-network', 'multilabel-classification']",2022-12-18 06:50:17,2022-12-18 08:11:24,https://stackoverflow.com/questions/74839601/resnet50-base-model-for-multi-label-classification-predicting-only-label
69996,Add label support,Purulence,74687425,tflite inference only predicts one label despite multiclass label training,"['python', 'speech-recognition', 'inference', 'tflite']",2022-12-05 11:26:46,2022-12-21 08:39:00,https://stackoverflow.com/questions/74687425/tflite-inference-only-predicts-one-label-despite-multiclass-label-training
69996,Add label support,James,72311989,Remove specific label,"['javascript', 'html', 'chart.js']",2022-05-19 23:12:36,2022-05-20 06:08:13,https://stackoverflow.com/questions/72311989/remove-specific-label
69996,Add label support,Zeeshan Akhtar,72696796,Find details of only first label from each &quot;label category&quot;,['python'],2022-06-21 07:26:53,2022-06-21 07:37:20,https://stackoverflow.com/questions/72696796/find-details-of-only-first-label-from-each-label-category
69996,Add label support,Varunkumar Manohar,73476439,Hightcharts label alignment,['highcharts'],2022-08-24 16:10:51,2022-08-24 22:58:12,https://stackoverflow.com/questions/73476439/hightcharts-label-alignment
69996,Add label support,patrick7,76926349,"Contours, inline label","['python', 'matplotlib', 'contour']",2023-08-18 03:55:45,2023-08-18 17:26:17,https://stackoverflow.com/questions/76926349/contours-inline-label
69996,Add label support,Rahul Madhusudan Nambiar,77485232,Javascript - Label selector,"['javascript', 'html']",2023-11-15 04:15:28,2023-11-19 11:22:46,https://stackoverflow.com/questions/77485232/javascript-label-selector
69996,Add label support,sina,77722570,Animate form&#39;s label,"['javascript', 'html', 'css', 'animation', 'onclick']",2023-12-27 14:51:46,2024-08-18 12:24:04,https://stackoverflow.com/questions/77722570/animate-forms-label
69996,Add label support,esims,74518189,ASP.NET label expression,['asp.net'],2022-11-21 11:26:53,2022-12-29 17:54:52,https://stackoverflow.com/questions/74518189/asp-net-label-expression
69996,Add label support,Zara Liu,74569522,Woocommerce price label,"['wordpress', 'woocommerce']",2022-11-25 07:34:46,2022-11-25 08:12:33,https://stackoverflow.com/questions/74569522/woocommerce-price-label
69996,Add label support,ola,74465175,Pine script label,"['pine-script', 'tradingview-api']",2022-11-16 18:01:21,2022-11-16 18:43:24,https://stackoverflow.com/questions/74465175/pine-script-label
69996,Add label support,Kong,75135139,stat_compare_means label overlapping,"['r', 'ggplot2', 'label', 'boxplot']",2023-01-16 13:49:54,2023-01-17 00:11:10,https://stackoverflow.com/questions/75135139/stat-compare-means-label-overlapping
69996,Add label support,News 24,75192989,Sendcloud return label,"['javascript', 'http', 'google-sheets', 'post']",2023-01-21 11:32:22,2023-04-19 22:42:24,https://stackoverflow.com/questions/75192989/sendcloud-return-label
69996,Add label support,PPP,72387766,"Perl: LABEL defined inside the foreach loop, and issue coming on jumping to the LABEL using &quot;goto LABEL&quot;","['perl', 'foreach', 'label', 'goto']",2022-05-26 06:41:48,2022-05-26 17:32:40,https://stackoverflow.com/questions/72387766/perl-label-defined-inside-the-foreach-loop-and-issue-coming-on-jumping-to-the
69996,Add label support,Kevin Xu,73282208,Print Label by using Bluetooth Label printer and Delphi 11 FMX,"['bluetooth', 'firemonkey', 'thermal-printer', 'delphi-11-alexandria']",2022-08-08 17:58:43,2023-09-21 04:24:56,https://stackoverflow.com/questions/73282208/print-label-by-using-bluetooth-label-printer-and-delphi-11-fmx
69996,Add label support,UtkE,76678600,Multi-label classification from single-label train dataset with deep learning,"['tensorflow', 'deep-learning', 'time-series', 'classification', 'multilabel-classification']",2023-07-13 10:57:49,2023-07-13 10:57:49,https://stackoverflow.com/questions/76678600/multi-label-classification-from-single-label-train-dataset-with-deep-learning
69996,Add label support,Software Dev,75374169,Chart.js hover over label,"['javascript', 'chart.js', 'vue-chartjs']",2023-02-07 13:38:56,2024-04-02 10:11:50,https://stackoverflow.com/questions/75374169/chart-js-hover-over-label
69996,Add label support,sarvesh kumar,73051450,CSS - Set Width of all label based on larger label width,"['html', 'css']",2022-07-20 12:12:23,2022-07-20 12:12:23,https://stackoverflow.com/questions/73051450/css-set-width-of-all-label-based-on-larger-label-width
69996,Add label support,Romano,72471016,"Mapbox, create area, label that area, then search for the label","['search', 'label', 'mapbox', 'area']",2022-06-02 05:20:42,2022-06-06 18:53:00,https://stackoverflow.com/questions/72471016/mapbox-create-area-label-that-area-then-search-for-the-label
69996,Add label support,Hundley,72879128,How to label axes in Swift Charts?,"['swiftui', 'swiftui-charts']",2022-07-06 06:59:08,2024-07-21 21:10:12,https://stackoverflow.com/questions/72879128/how-to-label-axes-in-swift-charts
69996,Add label support,Fazza,74435025,PowerApps: Filter Text Label or Input Label by dropdown menu selection,['powerapps'],2022-11-14 16:42:37,2022-12-06 16:25:48,https://stackoverflow.com/questions/74435025/powerapps-filter-text-label-or-input-label-by-dropdown-menu-selection
69996,Add label support,tniles320,75152009,"CanvasJS, show different values on x-axis label and datapoint label","['javascript', 'canvasjs']",2023-01-17 20:45:02,2023-01-20 11:45:14,https://stackoverflow.com/questions/75152009/canvasjs-show-different-values-on-x-axis-label-and-datapoint-label
69996,Add label support,dmippolito,76138936,Getting error &quot; Value of type &#39;Label&#39; cannot be converted to &#39;Label&#39; &quot;,['vb.net'],2023-04-29 23:35:55,2023-05-04 03:57:44,https://stackoverflow.com/questions/76138936/getting-error-value-of-type-label-cannot-be-converted-to-label
69996,Add label support,Minion123,77345885,Why is there spacing between my location label and temperature label,"['python', 'pyqt6']",2023-10-23 14:02:34,2023-10-25 09:13:56,https://stackoverflow.com/questions/77345885/why-is-there-spacing-between-my-location-label-and-temperature-label
69996,Add label support,Nocturno,74650844,"&#39;DataFrame&#39; object has no attribute &#39;label&#39;,how can I add label?",['dataframe'],2022-12-02 04:15:08,2022-12-02 04:15:08,https://stackoverflow.com/questions/74650844/dataframe-object-has-no-attribute-label-how-can-i-add-label
69996,Add label support,Francisco P&#233;rez,76654246,"Oracle Apex 22 Problem with Label Button, Label Items, Float Menu",['oracle-apex'],2023-07-10 13:29:56,2023-07-10 13:38:00,https://stackoverflow.com/questions/76654246/oracle-apex-22-problem-with-label-button-label-items-float-menu
69996,Add label support,pragmaticEngineer,75818235,cAdvisor metrics are missing container label when pod label is defined,"['kubernetes', 'cadvisor']",2023-03-23 00:03:19,2024-08-01 13:16:16,https://stackoverflow.com/questions/75818235/cadvisor-metrics-are-missing-container-label-when-pod-label-is-defined
69996,Add label support,Albi,73279007,Label file of yolov7,"['annotations', 'yolo', 'coco']",2022-08-08 13:53:06,2022-11-24 14:59:34,https://stackoverflow.com/questions/73279007/label-file-of-yolov7
69996,Add label support,Johnny,74275487,Chart.js: Label each dataset,"['javascript', 'chart.js']",2022-11-01 11:51:35,2022-11-03 05:24:54,https://stackoverflow.com/questions/74275487/chart-js-label-each-dataset
69996,Add label support,Lucifer_uwu,72416527,Custom tkinter label background,"['python', 'tkinter', 'customtkinter']",2022-05-28 14:36:50,2022-07-04 03:00:43,https://stackoverflow.com/questions/72416527/custom-tkinter-label-background
69996,Add label support,AzGames,73131188,Updating Label text tkinter,"['python', 'tkinter']",2022-07-27 00:54:30,2023-03-25 13:44:33,https://stackoverflow.com/questions/73131188/updating-label-text-tkinter
69996,Add label support,Ofir Sasson,74761665,change TextField label position,"['reactjs', 'material-ui', 'position', 'uitextfield', 'styled-components']",2022-12-11 14:31:00,2022-12-12 17:14:46,https://stackoverflow.com/questions/74761665/change-textfield-label-position
69996,Add label support,Whitehot,73195220,Position label of colorbar,"['python', 'matplotlib', 'plot']",2022-08-01 14:26:19,2022-08-01 15:36:57,https://stackoverflow.com/questions/73195220/position-label-of-colorbar
69996,Add label support,Dude Rar,74572024,Bound label to Image,"['python', 'deep-learning', 'neural-network', 'mnist']",2022-11-25 11:19:53,2022-11-25 18:03:30,https://stackoverflow.com/questions/74572024/bound-label-to-image
69996,Add label support,Kavi Rakesh,77479023,How to make one label value refer another label values in grafana,"['prometheus', 'grafana']",2023-11-14 08:05:10,2023-11-14 10:30:22,https://stackoverflow.com/questions/77479023/how-to-make-one-label-value-refer-another-label-values-in-grafana
69996,Add label support,PBI1910,77233077,Label for Geopandas Choropleth,"['python-3.x', 'plotly', 'geopandas', 'choropleth']",2023-10-04 21:25:43,2023-10-05 07:29:19,https://stackoverflow.com/questions/77233077/label-for-geopandas-choropleth
69996,Add label support,Gautham,73712602,Detect Label in ThreeJS,"['javascript', 'three.js']",2022-09-14 06:50:37,2022-09-14 08:20:41,https://stackoverflow.com/questions/73712602/detect-label-in-threejs
69996,Add label support,Antonio Amo S&#225;nchez,76051107,Django zebra label printing,"['python', 'django', 'zebra-printers', 'zpl']",2023-04-19 05:43:44,2023-06-03 21:48:12,https://stackoverflow.com/questions/76051107/django-zebra-label-printing
69996,Add label support,Vineeth Pokkavayalil,74981703,Python Tkinter label printing,"['python', 'python-3.x', 'string', 'list', 'tkinter']",2023-01-02 11:12:19,2023-01-02 13:21:26,https://stackoverflow.com/questions/74981703/python-tkinter-label-printing
69996,Add label support,Slappy,72307297,`ColorPicker` with active label?,"['swift', 'swiftui']",2022-05-19 15:31:37,2022-05-20 13:41:55,https://stackoverflow.com/questions/72307297/colorpicker-with-active-label
69996,Add label support,Nicola Rigoni,73459038,swiftui picker label visualization,"['swift', 'swiftui', 'picker']",2022-08-23 12:48:57,2022-12-10 01:19:39,https://stackoverflow.com/questions/73459038/swiftui-picker-label-visualization
69996,Add label support,answerSeeker,76937947,CSS for label printer,"['php', 'html', 'css', 'printing']",2023-08-20 04:27:47,2023-08-20 16:26:27,https://stackoverflow.com/questions/76937947/css-for-label-printer
69996,Add label support,DarthVegan,76891563,"Schema mismatch for label column &#39;Label&#39;: expected Single, got Vector&lt;Single&gt; (Parameter &#39;labelCol&#39;)","['c#', '.net', 'machine-learning', 'artificial-intelligence', 'ml.net']",2023-08-13 00:17:51,2023-09-13 23:07:12,https://stackoverflow.com/questions/76891563/schema-mismatch-for-label-column-label-expected-single-got-vectorsingle-p
69996,Add label support,novice_cplusplus,72718837,Django admin label style,"['django', 'styles', 'admin']",2022-06-22 16:14:58,2022-06-22 16:14:58,https://stackoverflow.com/questions/72718837/django-admin-label-style
69996,Add label support,sarah,73271013,Difference between One hot encoding and Label Encoding of target/output label,"['machine-learning', 'keras', 'scikit-learn', 'deep-learning']",2022-08-07 20:58:39,2022-08-08 02:49:27,https://stackoverflow.com/questions/73271013/difference-between-one-hot-encoding-and-label-encoding-of-target-output-label
69996,Add label support,a7dc,73492027,(parameter) label: any Binding element &#39;label&#39; implicitly has an &#39;any&#39; type.ts(7031),"['javascript', 'typescript', 'next.js', 'react-hook-form']",2022-08-25 18:12:13,2022-08-25 18:24:23,https://stackoverflow.com/questions/73492027/parameter-label-any-binding-element-label-implicitly-has-an-any-type-ts7
69996,Add label support,drunkgummyboy,75565648,"style label of checked checkbox, the label is nesteed in another div","['html', 'css', 'checkbox', 'sass', 'label']",2023-02-25 13:11:09,2023-02-25 13:11:09,https://stackoverflow.com/questions/75565648/style-label-of-checked-checkbox-the-label-is-nesteed-in-another-div
69996,Add label support,Sindu,75468500,How to add icon in label or label text in flutter textformfield,"['flutter', 'textfield']",2023-02-16 06:17:11,2023-02-16 09:56:25,https://stackoverflow.com/questions/75468500/how-to-add-icon-in-label-or-label-text-in-flutter-textformfield
69996,Add label support,Xlacssss,74454079,Change Label Caption Color,"['excel', 'vba']",2022-11-16 01:23:00,2022-11-16 07:01:21,https://stackoverflow.com/questions/74454079/change-label-caption-color
69996,Add label support,Chris,72729060,MatSnackBar default action label,"['angular', 'angular-material', 'material-design', 'snackbar', 'angular13']",2022-06-23 10:59:32,2022-06-23 10:59:32,https://stackoverflow.com/questions/72729060/matsnackbar-default-action-label
69996,Add label support,Marcel Kopera,74148071,Detect Link in Label,"['swift', 'xcode']",2022-10-21 02:10:29,2022-10-21 02:10:55,https://stackoverflow.com/questions/74148071/detect-link-in-label
69996,Add label support,IRT,73233422,Concatenate level label R,"['r', 'concatenation', 'multi-level']",2022-08-04 09:25:22,2022-08-04 14:42:54,https://stackoverflow.com/questions/73233422/concatenate-level-label-r
69996,Add label support,diana,74926323,Legend label Heatmap Plotly,"['python', 'plotly', 'plotly-dash', 'heatmap', 'waffle-chart']",2022-12-27 06:31:57,2022-12-27 08:54:29,https://stackoverflow.com/questions/74926323/legend-label-heatmap-plotly
69996,Add label support,Robert Brax,75732660,Adding missing label line,"['python', 'pandas']",2023-03-14 11:39:36,2023-03-14 11:41:03,https://stackoverflow.com/questions/75732660/adding-missing-label-line
69996,Add label support,Tommy,74167142,Metric with changing label,"['prometheus', 'promql', 'prometheus-alertmanager', 'victoriametrics', 'metricsql']",2022-10-22 21:12:08,2022-10-24 22:45:52,https://stackoverflow.com/questions/74167142/metric-with-changing-label
69996,Add label support,Venkat,73370777,"How to remove y-ticklabels, y-label and x-label from seaborn",['seaborn'],2022-08-16 08:12:16,2022-08-16 14:38:19,https://stackoverflow.com/questions/73370777/how-to-remove-y-ticklabels-y-label-and-x-label-from-seaborn
69996,Add label support,user12345dr,72106333,Adding &lt;label&gt; with BeautifulSoup,"['python', 'html', 'beautifulsoup']",2022-05-03 23:07:34,2022-05-04 22:51:28,https://stackoverflow.com/questions/72106333/adding-label-with-beautifulsoup
69996,Add label support,kapil tk,76686748,Flutter chip with label text have changes the label positioning of TextFormField,"['android', 'flutter', 'dart', 'android-chips', 'chips']",2023-07-14 10:16:18,2023-08-02 04:53:02,https://stackoverflow.com/questions/76686748/flutter-chip-with-label-text-have-changes-the-label-positioning-of-textformfield
69996,Add label support,Sam,72959174,BCEWithLogitsLoss Multi-label Classification,"['machine-learning', 'deep-learning', 'pytorch', 'classification', 'multilabel-classification']",2022-07-12 22:56:32,2022-07-12 23:44:20,https://stackoverflow.com/questions/72959174/bcewithlogitsloss-multi-label-classification
69996,Add label support,Tim Kirkwood,73248956,X-axis label positioning,"['python', 'plotly', 'label', 'position', 'x-axis']",2022-08-05 11:20:10,2024-02-01 21:27:16,https://stackoverflow.com/questions/73248956/x-axis-label-positioning
69996,Add label support,Matija Amondi,73527036,Change field label/string,"['invoice', 'odoo-14']",2022-08-29 09:54:15,2022-09-01 17:06:28,https://stackoverflow.com/questions/73527036/change-field-label-string
69996,Add label support,bbProg,75893154,JavaScript jump to label,"['javascript', 'break', 'goto', 'continue']",2023-03-30 21:31:10,2023-03-30 21:56:30,https://stackoverflow.com/questions/75893154/javascript-jump-to-label
69996,Add label support,Marcin,77941874,RMWC Select label issue,"['reactjs', 'material-ui']",2024-02-05 14:58:23,2024-02-05 14:58:23,https://stackoverflow.com/questions/77941874/rmwc-select-label-issue
69996,Add label support,Vika,72786396,Hide border of label,"['javascript', 'html', 'css']",2022-06-28 12:25:22,2022-06-28 12:58:20,https://stackoverflow.com/questions/72786396/hide-border-of-label
69996,Add label support,Frustrated_Coder,77672201,VBA ActiveX Label Transparency,"['excel', 'vba', 'activex']",2023-12-16 19:21:45,2023-12-18 15:41:51,https://stackoverflow.com/questions/77672201/vba-activex-label-transparency
69996,Add label support,Chlo&#233;,75435125,showing label with ggalluvium,"['r', 'ggplot2', 'ggalluvial']",2023-02-13 11:16:15,2024-04-29 12:10:32,https://stackoverflow.com/questions/75435125/showing-label-with-ggalluvium
69996,Add label support,Ben,76810328,Label axis in plot_ly(),"['r', 'plotly']",2023-08-01 09:36:28,2023-08-01 09:59:34,https://stackoverflow.com/questions/76810328/label-axis-in-plot-ly
69996,Add label support,Dimitri Conrozier,73691866,Function can&#39;t access Label,"['c#', 'function', 'unity-game-engine', 'label']",2022-09-12 15:44:49,2022-09-12 15:44:49,https://stackoverflow.com/questions/73691866/function-cant-access-label
69996,Add label support,bigrevkev55,74587179,Tkinter Label Widget Justify,"['tkinter', 'label']",2022-11-27 02:59:37,2022-11-27 04:30:47,https://stackoverflow.com/questions/74587179/tkinter-label-widget-justify
69996,Add label support,S3D,73929660,PrimeNg remove multiselect label,"['javascript', 'css', 'angular', 'frontend', 'primeng']",2022-10-02 22:05:35,2022-10-03 10:10:04,https://stackoverflow.com/questions/73929660/primeng-remove-multiselect-label
69996,Add label support,Novruz&#39; Cəfərov,72338499,OutlinedTextField Label always top,"['android', 'android-jetpack-compose']",2022-05-22 14:28:30,2022-05-22 14:28:30,https://stackoverflow.com/questions/72338499/outlinedtextfield-label-always-top
